ID,Vesting,LegalDescription,State,County
7055161,Example,"a an the and or he she this that",Example,Example
7055210,Example,"a an the and or he she this that",Example,Example
7055670,Example,"a an the and or he she this that",Example,Example
7055813,Example,"a an the and or he she this that",Example,Example
7055829,Example,"a an the and or he she this that",Example,Example
7055855,Example,"a an the and or he she this that",Example,Example
7056014,Example,"a an the and or he she this that",Example,Example
7056178,Example,"a an the and or he she this that",Example,Example
7056314,Example,"a an the and or he she this that",Example,Example
7056491,Example,"a an the and or he she this that",Example,Example
7056932,Example,"a an the and or he she this that",Example,Example
7059450,Example,"a an the and or he she this that",Example,Example
7060539,Example,"a an the and or he she this that",Example,Example
7061373,Example,"a an the and or he she this that",Example,Example
7061515,Example,"a an the and or he she this that",Example,Example
7061727,Example,"a an the and or he she this that",Example,Example
7062134,Example,"a an the and or he she this that",Example,Example
7062771,Example,"a an the and or he she this that",Example,Example
7063105,Example,"a an the and or he she this that",Example,Example
7063187,Example,"a an the and or he she this that",Example,Example
7063773,Example,"a an the and or he she this that",Example,Example
7063893,Example,"a an the and or he she this that",Example,Example
7064205,Example,"a an the and or he she this that",Example,Example
7064423,Example,"a an the and or he she this that",Example,Example
7064571,Example,"a an the and or he she this that",Example,Example
7064880,Example,"a an the and or he she this that",Example,Example
7065325,Example,"a an the and or he she this that",Example,Example
7065326,Example,"a an the and or he she this that",Example,Example
7065855,Example,"a an the and or he she this that",Example,Example
7066201,Example,"a an the and or he she this that",Example,Example
7066795,Example,"a an the and or he she this that",Example,Example
7067085,Example,"a an the and or he she this that",Example,Example
7070358,Example,"a an the and or he she this that",Example,Example
7070761,Example,"a an the and or he she this that",Example,Example
7070861,Example,"a an the and or he she this that",Example,Example
7070966,Example,"a an the and or he she this that",Example,Example
7071261,Example,"a an the and or he she this that",Example,Example
7071367,Example,"a an the and or he she this that",Example,Example
7072470,Example,"a an the and or he she this that",Example,Example
7072631,Example,"a an the and or he she this that",Example,Example
7072652,Example,"a an the and or he she this that",Example,Example
7072684,Example,"a an the and or he she this that",Example,Example
7073051,Example,"a an the and or he she this that",Example,Example
7073170,Example,"a an the and or he she this that",Example,Example
7073185,Example,"a an the and or he she this that",Example,Example
7073831,Example,"a an the and or he she this that",Example,Example
7074384,Example,"a an the and or he she this that",Example,Example
7074717,Example,"a an the and or he she this that",Example,Example
7075004,Example,"a an the and or he she this that",Example,Example
7075930,Example,"a an the and or he she this that",Example,Example
7076039,Example,"a an the and or he she this that",Example,Example
7076510,Example,"a an the and or he she this that",Example,Example
7076597,Example,"a an the and or he she this that",Example,Example
7076686,Example,"a an the and or he she this that",Example,Example
7076899,Example,"a an the and or he she this that",Example,Example
7076909,Example,"a an the and or he she this that",Example,Example
7077189,Example,"a an the and or he she this that",Example,Example
7077780,Example,"a an the and or he she this that",Example,Example
7077945,Example,"a an the and or he she this that",Example,Example
7078033,Example,"a an the and or he she this that",Example,Example
7078058,Example,"a an the and or he she this that",Example,Example
7078418,Example,"a an the and or he she this that",Example,Example
7078570,Example,"a an the and or he she this that",Example,Example
7078591,Example,"a an the and or he she this that",Example,Example
7079778,Example,"a an the and or he she this that",Example,Example
